#T <E> <E^2> <C>
0.1 -98.25402067699795 11666.830677170272 7455.474436941962
0.2 -92.54001640802124 10225.984633565035 1539.1944414520315
0.3 -56.553750583512425 3653.1455258994915 187.16823902771995
0.4 -37.88012146389084 1511.158294888361 17.651549252138338
0.5 -23.366128854802934 649.2312869605314 15.297082859448471
0.6 0.9773315524709346 259.9923443961821 26.649914344930746
0.7 10.155474574102346 703.9627293543465 45.414139495775316
0.8 14.708508886096395 956.4908564312173 42.83279067007179
0.9 24.826638423597114 1516.2269431693942 41.14608906051054
1.0 26.997816326671696 2046.3957617937933 48.79680279204046
